PubMedId	Entity	EntityType	NormalizedID	title/abs	Start	End 
9346891	light-harvesting chlorophyll a/b protein	Protein	TR-Q9LMQ2	abs	732	772
15342390	transcription factor AP-2	Protein	TR-Q92755	abs	500	525
16731587	PINFORMED3	Protein	TR-M4NBC2,Q9S7Z8	abs	449	459
16731587	PIN3	Protein	TR-M4NBC2,Q9S7Z8	abs	461	465
16731587	PIN3	Protein	TR-M4NBC2,Q9S7Z8	abs	750	754
9346891	EDTA	Protein	Protein	abs	544	548
9346891	Ferrochelatase	Protein	Protein	abs	0	14
9346891	ferrochelatase	Protein	Protein	abs	167	181
9346891	ferrochelatase	Protein	Protein	abs	1215	1229
9346891	porphobilinogen deaminase	Protein	Q43316, Q43082	abs	803	828
10072396	beta-glucuronidase	Protein	Q93VY4	abs	349	367
10207082	TSG101	Protein	Protein	abs	1060	1066
11950973	cation exchangers 1, 2, and 3	Protein	Q39253, Q39254, Q93Z81	abs	134	163
12177201	Fyn	Protein	P06241	abs	1599	1602
12177201	Isl-1	Protein	P61371	abs	400	405
12177201	Lin-11	Protein	Protein	abs	392	398
12177201	Mec-3	Protein	Protein	abs	411	416
12177201	nonreceptor protein tyrosine kinases focal adhesion kinase	Protein	Protein	abs	1536	1594
12482924	beta4	Protein	Protein	abs	733	738
12482924	beta4	Protein	Protein	abs	894	899
12482924	beta4	Protein	Protein	abs	998	1003
12566991	trichostatin A	Protein	Protein	abs	940	954
12682047	His6	Protein	Protein	abs	896	900
12794138	beta(2)-microglobulin	Protein	P61769	abs	666	687
12805228	FLC	Protein	Q5Q9J1	abs	854	857
14701804	TIP60	Protein	Q92993	abs	915	920
15467828	KIAA1036	Protein	Q7L8A9	abs	408	416
15467828	KIAA1036	Protein	Q7L8A9	abs	751	759
15467828	KIAA1036	Protein	Q7L8A9	abs	850	858
15467828	TNF-alpha	Protein	P78536	abs	896	905
15467828	Vasohibin	Protein	Protein	title	0	9
15467828	VEGF	Protein	Protein	abs	341	345
15467828	VEGF	Protein	Protein	abs	826	830
15788404	lysophospholipase C	Protein	Protein	abs	1466	1485
15788404	NPP1-3	Protein	P22413, P06802, Q13822, Q9R1E6, Q6DYE8, O14638	abs	287	293
16541025	PP2A	Protein	P63151	abs	536	540
16541025	PP2A	Protein	P63151	abs	576	580
16541025	PP2A	Protein	P63151	abs	909	913
16541025	protein phosphatase 2A	Protein	P63151	title	28	50
16541025	protein phosphatase 2A	Protein	P63151	abs	512	534
16541025	shugoshin	Protein	Protein	abs	300	309
16541025	shugoshin	Protein	Protein	abs	406	415
16541025	shugoshin	Protein	Protein	abs	565	574
16541025	shugoshin	Protein	Protein	abs	598	607
16541025	shugoshin	Protein	Protein	abs	676	685
16541025	shugoshin	Protein	Protein	abs	861	870
16595633	alpha-synuclein	Protein	P37840	abs	137	152
16595633	alpha-synuclein	Protein	P37840	abs	213	228
16595633	alpha-synuclein	Protein	P37840	abs	639	654
16595633	alpha-synuclein	Protein	P37840	abs	961	976
16595633	synphilin-1	Protein	Q9Y6H5	title	46	57
16595633	synphilin-1	Protein	Q9Y6H5	abs	186	197
16595633	synphilin-1	Protein	Q9Y6H5	abs	355	366
16595633	synphilin-1	Protein	Q9Y6H5	abs	482	493
16595633	Synphilin-1A	Protein	Q9Y6H5	title	0	12
16595633	synphilin-1A	Protein	Q9Y6H5	abs	327	339
16595633	synphilin-1A	Protein	Q9Y6H5	abs	465	477
16595633	Synphilin-1A	Protein	Q9Y6H5	abs	617	629
