UniProtAC	LOC_GO	LOC_NAME	In SwissProt	ChildOf SwissProt	In LocTree3	Confirmed	Num Docs	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID
P40051	GO:0005773	vacuole	FALSE	FALSE	FALSE	Confused with APE1 http://www.uniprot.org/uniprot/P14904	25	9214379	26058532	10359592	8601598	10745074	12383798	10662773	1400574	10681575	15659643	7593182	9475722	9245783	9490720	10397763	9739084	12364329	9412464	9475723	11149920	10233148	8175799	11264288	26208681	11861771																																																		
P23724	GO:0005777	peroxisome	FALSE	FALSE	FALSE	Confused with PTS1 http://www.uniprot.org/uniprot/P35056	25	10455228	17506110	18832312	10333503	7706321	7628714	11025529	19118449	14742703	10087260	7641682	17944376	11591682	9818356	10783241	16032762	12943550	20130089	21998305	10788481	10652355	28261750	16813573	16531488	19854152																																																		
P60010	GO:0016020	membrane	FALSE	FALSE	FALSE	9802902	18	15800069	15651983	9802902	23458500	14561408	28057762	12923176	25928398	10364228	19855162	20007700	22056563	16473595	25387880	12566429	9219339	27449057	26337384																																																									
P00729	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE	8590804	17	9199167	9398683	19066017	12200438	8458343	8590804	12058050	8817003	9211789	8509446	12244127	1756716	8187177	9714809	9722605	12646213	9175702																																																										
P19073	GO:0015629	actin cytoskeleton	FALSE	FALSE	FALSE	9679143	16	9679143	11204776	9082982	10961446	10430899	22918946	9210375	12913069	22327008	11154270	10679030	17601877	18701706	19710424	11595741	9989831																																																											
P60010	GO:0005874	microtubule	FALSE	FALSE	FALSE	24909329	15	24909329	7865875	10085294	25957401	20309963	12565838	10359695	11854414	10679396	19054134	9367980	16473595	16236795	12221131	20517926																																																												
P32319	GO:0005773	vacuole	FALSE	FALSE	FALSE	11160819	14	8187177	8636229	11801606	8534908	20936498	11160819	20622126	16926167	18784256	12475953	8689553	9657377	9105038	9175702																																																													
P40566	GO:0005773	vacuole	FALSE	FALSE	FALSE	7926738	14	12383798	11264288	9712845	7926738	11149920	10637310	1400574	15659643	10233148	11847108	9168472	9650782	9475723	11329380																																																													
P47988	GO:0005874	microtubule	FALSE	FALSE	FALSE	12034771	13	12034771	16355535	12789340	11942607	11516644	11972773	19646873	9573052	15184402	25422470	16222337	18328707	12007420																																																														
P13134	GO:0005773	vacuole	FALSE	FALSE	FALSE	1493334	13	1493334	8930891	9488470	20936498	2071670	7785320	8887651	15090613	1514325	9314526	11160819	21441304	9456318																																																														
P32854	GO:0005773	vacuole	FALSE	FALSE	FALSE	26395371	12	26395371	8730101	7705347	9201718	11208059	27812735	11208109	10692457	9843576	9247140	9722605	11872141																																																															
Q12149	GO:0070062	extracellular exosome	FALSE	FALSE	FALSE	24558481	12	24558481	17118470	25680078	12923254	18591258	16541108	18285452	23489294	20531389	23580640	11696331	21713680																																																															
P06780	GO:0005618	cell wall	FALSE	FALSE	FALSE	15546915	10	15546915	9491802	24318926	23907979	11737264	16421249	12847085	16324155	16146630	17080289																																																																	
P0CG63	GO:0016020	membrane	FALSE	FALSE	FALSE	16497221	9	16373356	15651983	25126728	15078904	14557538	23142642	16497221	24407891	27977397																																																																		
P60010	GO:0001725	stress fiber	FALSE	TRUE	FALSE	12125979	9	12125979	1315784	20139238	26914139	25313406	23982070	18585353	12704194	17344480																																																																		
P10663	GO:0016020	membrane	FALSE	FALSE	FALSE	Confused with human MRP2 http://www.uniprot.org/uniprot/Q92887	9	10691972	10590710	10794730	16415124	12395335	11587480	16099435	15159385	15821043																																																																		
P01149	GO:0005773	vacuole	FALSE	FALSE	FALSE	8314797	9	8444873	12052896	11689690	8707846	8458343	8314797	9880567	11294906	7729411																																																																		
P60010	GO:0005773	vacuole	FALSE	FALSE	FALSE	12177043	8	12177043	9490720	14561408	22562467	12566429	9660816	20007700	19054134																																																																			
P41695	GO:0005819	spindle	FALSE	FALSE	FALSE	12221113	8	15525673	19117986	24402315	20928940	12606573	12221113	9182760	16950116																																																																			
P36017	GO:0005773	vacuole	FALSE	FALSE	FALSE	10679018	8	10679018	22593206	23547030	25971802	22899724	20870878	8137814	23417307																																																																			
P41832	GO:0001725	stress fiber	FALSE	FALSE	FALSE		8	17344480	19297522	22160598	12589066	20147448	18182006	21127052	15020407																																																																			
P09959	GO:0000775	chromosome, centromeric region	FALSE	FALSE	FALSE		8	18716626	25774833	14625560	11387218	9722643	18075750	10958692	11129054																																																																			
P24583	GO:0005618	cell wall	FALSE	FALSE	FALSE		7	17237519	9055074	10893184	9391108	25346786	7929594	8709962																																																																				
P41821	GO:0005634	nucleus	FALSE	FALSE	FALSE		7	15572668	9852154	22888038	10930468	17140794	27337541	27059155																																																																				
P11655	GO:0044214	spanning component of plasma membrane	FALSE	FALSE	FALSE		7	9152025	8707815	8589449	11238450	15130490	10737146	9208222																																																																				
